"","customerid","sex","age","post","trx1M","amt1M","mean1M","item1M","trx3M","amt3M","mean3M","item3M","trx6M","amt6M","mean6M","item6M","churn"
"1003",16095,"F","50技~54技","075",16,566100,35381,40,47,1299208,27643,86,83,2150729,25912,150,"0"
"1004",7806,"F","40技~44技","075",25,295181,11807,58,68,1394103,20502,152,122,2472948,20270,263,"0"
"1005",15708,"F","50技~54技","075",3,43030,14343,7,4,49720,12430,9,10,163440,16344,27,"0"
"1006",5584,"F","45技~49技","072",NA,NA,NA,NA,NA,NA,NA,NA,2,41850,20925,10,"0"
"1007",15063,"F","40技~44技","072",NA,NA,NA,NA,3,58290,19430,8,13,463400,35646,31,"1"
"1008",5333,"F","45技~49技","075",13,238950,18381,46,28,749504,26768,85,51,1361518,26696,140,"0"
"1009",18614,"M","40技~44技","075",3,133710,44570,6,4,153610,38402,7,9,430907,47879,21,"0"
"1010",6600,"F","40技~44技","045",1,10840,10840,2,2,147020,73510,18,7,717010,102430,42,"0"
"1011",8933,"F","35技~39技","060",1,2070,2070,1,2,63670,31835,3,7,449960,64280,14,"0"
"1012",13636,"F","30技~34技","075",NA,NA,NA,NA,2,144384,72192,25,5,329674,65935,32,"0"
"1013",3493,"F","50技~54技","055",14,720843,51489,72,50,1938654,38773,142,116,3975492,34271,280,"0"
"1014",17752,"F","45技~49技","055",12,364608,30384,40,39,914192,23441,78,130,3197030,24593,222,"0"
"1015",5809,"F","40技~44技","055",18,474365,26354,46,60,1762332,29372,132,114,3826833,33569,259,"0"
"1016",14482,"F","35技~39技","055",20,1002160,50108,61,69,2477396,35904,139,134,4756902,35499,255,"0"
"1017",16590,"F","55技~59技","055",22,562710,25578,63,59,1221831,20709,111,107,2276543,21276,196,"0"
"1018",3632,"F","45技~49技","055",21,678158,32293,58,66,2870048,43486,143,149,6215334,41714,264,"0"
"1019",1250,"F","55技~59技","049",18,484588,26922,49,58,1166574,20113,95,126,2583926,20507,204,"0"
"1020",5319,"F","45技~49技","060",18,292270,16237,22,54,886503,16417,54,107,1552131,14506,90,"0"
"1021",11289,"F","60技捞惑","049",7,78720,11246,18,22,247068,11230,52,58,607670,10477,92,"0"
"1022",88,"F","60技捞惑","049",9,541396,60155,39,32,1253920,39185,92,52,1698323,32660,133,"0"
"1023",719,"F","60技捞惑","049",22,425846,19357,51,67,1345490,20082,105,133,2920096,21956,220,"0"
"1024",5254,"F","45技~49技","049",11,178553,16232,37,36,722495,20069,85,102,2222078,21785,187,"0"
"1025",16489,"F","45技~49技","049",7,371968,53138,45,23,1488807,64731,129,56,3668843,65515,238,"0"
"1026",2350,"F","50技~54技","049",20,448764,22438,62,43,1067059,24815,95,88,2992385,34004,163,"0"
"1027",403,"M","60技捞惑","049",15,286748,19117,49,51,964154,18905,116,91,1644904,18076,178,"0"
"1028",12798,"M","30技~34技","043",25,545216,21809,86,71,1673270,23567,150,134,3151275,23517,277,"0"
"1029",16582,"F","35技~39技","049",11,246840,22440,29,59,770180,13054,63,144,1398180,9710,114,"0"
"1030",10758,"F","35技~39技","052",15,414644,27643,65,55,1726292,31387,149,101,2979243,29497,242,"0"
"1031",9475,"F","30技~34技","049",28,416095,14861,71,81,1154748,14256,135,168,2637773,15701,247,"0"
"1032",3764,"F","45技~49技","049",26,642974,24730,75,63,1620188,25717,114,148,3973489,26848,209,"0"
"1033",2713,"M","50技~54技","049",16,582884,36430,44,61,2062230,33807,93,94,2995503,31867,137,"0"
"1034",126,"F","60技捞惑","055",25,303956,12158,40,68,905159,13311,86,127,1636664,12887,143,"0"
"1035",15052,"F","40技~44技","024",8,585020,73128,57,18,1296990,72055,111,39,2974190,76261,201,"0"
"1036",969,"F","55技~59技","055",21,390394,18590,37,48,995962,20749,74,93,1649678,17738,120,"0"
"1037",2839,"F","50技~54技","055",23,303750,13207,28,73,1039932,14246,79,131,1580941,12068,132,"0"
"1038",7742,"M","40技~44技","052",13,353536,27195,26,35,1436426,41041,60,101,5299626,52472,117,"0"
"1039",1567,"F","55技~59技","055",18,474439,26358,50,64,1484201,23191,117,106,2446124,23077,183,"0"
"1040",12676,"M","45技~49技","055",25,482960,19318,40,52,1099821,21150,98,77,1785583,23189,149,"0"
"1041",14243,"F","60技捞惑","055",16,299111,18694,33,62,1107776,17867,85,113,1712669,15156,140,"0"
"1042",10912,"F","60技捞惑","049",13,160480,12345,20,37,802640,21693,83,80,2162723,27034,184,"0"
"1043",7034,"F","40技~44技","065",22,801725,36442,106,44,1670181,37959,169,79,2738474,34664,267,"0"
"1044",17300,"M","40技~44技","039",16,485208,30326,66,69,1572958,22796,138,134,2794546,20855,233,"0"
"1045",5548,"M","45技~49技","016",21,517789,24657,61,44,1104279,25097,94,99,2647045,26738,206,"0"
"1046",2030,"F","50技~54技","016",17,322780,18987,42,48,986806,20558,95,89,2032614,22838,190,"0"
"1047",8699,"F","35技~39技","016",36,1067065,29641,111,85,2572003,30259,183,145,4489382,30961,318,"0"
"1048",5335,"M","45技~49技","016",3,27620,9207,5,11,161740,14704,25,16,283090,17693,39,"0"
"1049",15463,"F","45技~49技","016",22,560302,25468,49,71,1523557,21459,101,135,2763885,20473,184,"0"
"1050",3891,"F","45技~49技","016",3,44728,14909,8,8,367090,45886,33,22,856790,38945,84,"0"
"1051",1272,"F","55技~59技","016",NA,NA,NA,NA,1,21860,21860,3,3,146664,48888,15,"1"
"1052",13150,"F","20技~24技","016",10,214012,21401,46,34,513381,15099,92,75,1263939,16853,181,"0"
"1053",5261,"F","45技~49技","016",1,73060,73060,7,2,347227,173614,45,8,1164072,145509,115,"0"
"1054",16965,"F","55技~59技","013",10,268617,26862,25,36,1017014,28250,68,76,2042083,26870,126,"0"
"1055",1526,"F","55技~59技","016",1,152220,152220,16,6,738555,123092,57,11,1194297,108572,89,"0"
"1056",12042,"F","30技~34技","016",1,68660,68660,15,1,68660,68660,15,9,277401,30822,45,"0"
"1057",13128,"M","45技~49技","010",13,212453,16343,30,44,754336,17144,71,104,2064210,19848,151,"0"
"1058",19011,"F","55技~59技","055",21,730714,34796,52,58,1653723,28512,112,104,2552039,24539,177,"0"
"1059",1363,"F","55技~59技","055",22,697048,31684,35,58,1882792,32462,96,122,3426128,28083,192,"0"
"1060",1314,"F","55技~59技","055",23,447562,19459,58,61,1343667,22027,129,124,2662877,21475,226,"0"
"1061",4094,"F","45技~49技","055",17,768099,45182,53,47,2225664,47355,103,117,5515306,47139,199,"0"
"1062",6615,"M","40技~44技","039",22,300606,13664,28,76,842856,11090,81,150,1634091,10894,124,"0"
"1063",8860,"F","35技~39技","055",18,465059,25837,47,61,1717903,28162,121,123,3464961,28170,230,"0"
"1064",14913,"M","60技捞惑","055",13,332453,25573,32,37,1055686,28532,67,89,2720129,30563,127,"0"
"1065",2134,"F","50技~54技","055",13,1036268,79713,57,52,2282739,43899,144,107,3985326,37246,272,"0"
"1066",1055,"F","55技~59技","055",26,788915,30343,72,61,1773502,29074,108,136,3253908,23926,193,"0"
"1067",15119,"F","30技~34技","055",12,523098,43592,47,40,1470966,36774,86,87,3002834,34515,168,"0"
"1068",13193,"F","35技~39技","075",46,922799,20061,93,132,2827381,21420,183,263,5267528,20029,324,"0"
"1069",655,"F","60技捞惑","049",28,368857,13173,62,68,931295,13696,100,141,2345871,16637,198,"0"
"1070",17373,"F","50技~54技","049",14,590583,42184,75,47,1443046,30703,137,106,2980960,28122,255,"0"
"1071",259,"M","60技捞惑","049",18,599650,33314,66,57,2521920,44244,177,117,5095149,43548,331,"0"
"1072",270,"F","60技捞惑","049",17,284956,16762,52,48,931228,19401,107,92,1929874,20977,193,"0"
"1073",12096,"F","45技~49技","049",23,656796,28556,78,69,1936453,28065,145,144,3703169,25716,253,"0"
"1074",692,"F","60技捞惑","049",24,618399,25767,57,63,1433307,22751,112,131,2813544,21477,198,"0"
"1075",18218,"F","45技~49技","049",31,778994,25129,80,67,1665559,24859,117,99,2814068,28425,178,"0"
"1076",1097,"M","55技~59技","055",9,338884,37654,47,25,847004,33880,94,53,1728828,32619,166,"0"
"1077",2166,"F","50技~54技","049",12,543189,45266,57,39,1612821,41354,112,97,4378382,45138,222,"0"
"1078",3224,"F","50技~54技","049",20,759448,37972,37,72,2698128,37474,84,149,4976282,33398,143,"0"
"1079",10051,"F","45技~49技","049",15,556546,37103,64,59,1780644,30180,165,138,3897979,28246,308,"0"
"1080",4070,"F","45技~49技","049",14,520930,37209,53,40,1298649,32466,100,83,2837308,34184,206,"0"
"1081",14404,"M","55技~59技","047",23,330113,14353,53,71,835149,11763,89,139,1510658,10868,147,"0"
"1082",7481,"M","40技~44技","016",34,993266,29214,59,75,2319761,30930,92,83,2985375,35968,112,"0"
"1083",16621,"F","50技~54技","047",23,392644,17071,43,61,1062960,17426,79,129,1970625,15276,148,"0"
"1084",5771,"F","40技~44技","047",7,172635,24662,16,23,397101,17265,51,45,746233,16583,91,"0"
"1085",4796,"M","45技~49技","047",16,188384,11774,31,36,575916,15998,59,75,996344,13285,102,"0"
"1086",2575,"F","50技~54技","020",1,113550,113550,15,1,113550,113550,15,5,351780,70356,25,"0"
"1087",11882,"F","50技~54技","013",8,80050,10006,10,29,377956,13033,37,62,775692,12511,89,"0"
"1088",17874,"F","50技~54技","060",20,773359,38668,53,52,1434511,27587,107,109,2544341,23343,191,"0"
"1089",8592,"F","35技~39技","043",16,465887,29118,48,49,1287387,26273,92,112,2646085,23626,179,"0"
"1090",3431,"F","50技~54技","039",16,262660,16416,24,53,729950,13773,59,107,1638362,15312,110,"0"
"1091",12589,"F","60技捞惑","087",19,324081,17057,17,64,1308944,20452,52,121,2507535,20723,96,"0"
"1092",659,"F","60技捞惑","043",12,287269,23939,33,49,911514,18602,67,93,1793063,19280,128,"0"
"1093",4713,"F","45技~49技","043",11,114710,10428,18,38,485116,12766,40,101,1190936,11791,99,"0"
"1094",4236,"F","45技~49技","047",15,545718,36381,73,48,1343288,27985,134,92,2235619,24300,219,"0"
"1095",3106,"F","50技~54技","039",31,640361,20657,43,68,1412995,20779,64,118,2618640,22192,111,"0"
"1096",8898,"F","35技~39技","010",31,711359,22947,100,73,1597644,21886,165,130,2787722,21444,262,"0"
"1097",12664,"F","55技~59技","055",26,1133938,43613,75,59,2441766,41386,151,123,4624631,37599,278,"0"
"1098",17878,"M","55技~59技","055",29,1108659,38230,70,85,2630591,30948,142,212,5177133,24420,260,"0"
"1099",18821,"F","40技~44技","075",24,553932,23080,43,61,1572782,25783,92,186,3137071,16866,210,"0"
"1100",15425,"F","45技~49技","047",4,72108,18027,14,8,177783,22223,28,16,930873,58180,47,"0"
"1101",6073,"F","40技~44技","055",17,639641,37626,78,48,1793017,37355,156,103,4153697,40327,280,"0"
"1102",8839,"F","35技~39技","060",17,414977,24410,40,41,814897,19876,74,86,1674989,19477,134,"0"
"1103",17913,"F","40技~44技","055",24,1250903,52121,56,80,2906295,36329,108,150,4847944,32320,190,"0"
"1104",13082,"M","30技~34技","055",21,335540,15978,36,32,703450,21983,48,60,1335607,22260,77,"0"
"1105",7050,"F","40技~44技","072",25,823620,32945,83,78,2772978,35551,203,151,5243600,34726,365,"0"
"1106",3969,"F","45技~49技","055",23,318850,13863,44,54,1002645,18568,88,110,2190611,19915,177,"0"
"1107",14183,"M","45技~49技","055",21,1585206,75486,96,65,5350337,82313,158,125,8846839,70775,271,"0"
"1108",1357,"F","55技~59技","055",23,361545,15719,45,73,1031717,14133,96,141,2590385,18372,174,"0"
"1109",15137,"M","30技~34技","055",18,299513,16640,37,49,1273649,25993,86,79,1886308,23877,136,"0"
"1110",4360,"F","45技~49技","069",9,228330,25370,24,16,1122406,70150,39,37,2049195,55384,86,"0"
"1111",762,"F","60技捞惑","024",2,62400,31200,14,4,84122,21030,18,13,346569,26659,46,"0"
"1112",8101,"F","35技~39技","024",8,395742,49468,38,34,1097261,32272,104,67,1886283,28153,169,"0"
"1113",17157,"F","60技捞惑","052",23,843963,36694,61,44,1970122,44776,90,91,3524303,38729,167,"0"
"1114",14510,"F","30技~34技","055",8,64390,8049,11,38,413871,10891,63,105,1267515,12072,145,"0"
"1115",14642,"F","50技~54技","055",21,464020,22096,56,55,1244227,22622,136,117,2534650,21664,228,"0"
"1116",12945,"F","25技~29技","047",13,264817,20371,35,43,959452,22313,85,98,2641067,26950,172,"0"
"1117",3631,"F","45技~49技","055",18,351048,19503,50,56,1737421,31025,124,102,2880543,28241,217,"0"
"1118",9869,"F","25技~29技","055",17,205854,12109,39,46,448044,9740,64,111,1805930,16270,151,"0"
"1119",16523,"F","25技~29技","055",15,390564,26038,61,48,1414969,29479,139,76,2531475,33309,220,"0"
"1120",9212,"F","35技~39技","013",21,628679,29937,74,50,1306084,26122,109,86,2040033,23721,186,"0"
"1121",18902,"F","25技~29技","039",22,387210,17600,19,88,1364530,15506,62,161,2429450,15090,106,"0"
"1122",9104,"F","35技~39技","039",5,184967,36993,20,6,203317,33886,23,8,275017,34377,33,"0"
"1123",661,"F","60技捞惑","016",13,178839,13757,22,27,720125,26671,58,60,1659152,27653,112,"0"
"1124",11832,"F","50技~54技","016",19,233870,12309,37,49,675942,13795,72,94,1266986,13479,128,"0"
"1125",1437,"M","55技~59技","016",10,355635,35564,38,30,985822,32861,82,57,1664133,29195,136,"0"
"1126",5343,"F","45技~49技","060",11,534964,48633,60,49,1803979,36816,143,91,3305267,36322,239,"0"
"1127",13748,"M","35技~39技","055",22,1142987,51954,67,71,4758874,67026,141,128,7884180,61595,232,"0"
"1128",21,"M","60技捞惑","055",25,754082,30163,65,68,2378792,34982,129,134,5409344,40368,232,"0"
"1129",2373,"F","50技~54技","055",14,320069,22862,41,40,1146841,28671,96,101,2533950,25089,195,"0"
"1130",522,"F","60技捞惑","055",18,428658,23814,35,89,3303790,37121,124,162,5075320,31329,218,"0"
"1131",675,"M","60技捞惑","055",21,435692,20747,33,68,1665311,24490,86,119,2973375,24986,148,"0"
"1132",14597,"F","30技~34技","085",15,179616,11974,19,41,388106,9466,44,78,596316,7645,69,"0"
"1133",7178,"F","40技~44技","047",15,380552,25370,49,53,2139044,40359,111,108,3745087,34677,193,"0"
"1134",4175,"F","45技~49技","055",3,70560,23520,4,8,332490,41561,10,26,850538,32713,54,"0"
"1135",6603,"M","40技~44技","055",7,65160,9309,11,48,1094629,22805,79,116,3407505,29375,162,"0"
"1136",5241,"F","45技~49技","055",5,163400,32680,19,13,326859,25143,36,46,1138826,24757,104,"0"
"1137",8987,"M","35技~39技","055",15,233047,15536,31,69,1106214,16032,97,120,2420927,20174,168,"0"
"1138",6906,"M","40技~44技","055",11,246455,22405,35,39,860262,22058,113,76,2219547,29205,210,"0"
"1139",13157,"F","25技~29技","075",NA,NA,NA,NA,2,59450,29725,2,5,145330,29066,6,"0"
"1140",18134,"F","50技~54技","010",15,676038,45069,58,43,1816720,42249,127,122,4517748,37031,270,"0"
"1141",15934,"F","50技~54技","010",21,469192,22342,46,62,1493808,24094,144,126,2762060,21921,241,"0"
"1142",11830,"F","45技~49技","010",1,10000,10000,1,1,10000,10000,1,1,10000,10000,1,"0"
"1143",12925,"F","40技~44技","013",21,802522,38215,69,51,1801492,35323,131,105,4261592,40587,279,"0"
"1144",395,"F","60技捞惑","055",19,542117,28532,59,47,1214258,25835,112,93,2401453,25822,204,"0"
"1145",13582,"F","40技~44技","049",NA,NA,NA,NA,1,500000,5e+05,1,4,531900,132975,4,"0"
"1146",859,"M","55技~59技","055",11,341040,31004,32,34,1085952,31940,58,55,1744502,31718,113,"0"
"1147",8662,"F","35技~39技","016",7,300900,42986,9,23,758410,32974,41,48,2912548,60678,83,"0"
"1148",9906,"F","25技~29技","055",18,515450,28636,11,59,1063460,18025,19,128,1846090,14423,39,"0"
"1149",16555,"F","45技~49技","065",9,99760,11084,15,38,568056,14949,54,83,1473489,17753,101,"0"
"1150",892,"M","55技~59技","047",19,206467,10867,40,57,659528,11571,82,119,1423479,11962,142,"0"
"1151",17009,"F","25技~29技","055",21,565660,26936,58,58,1469085,25329,109,127,3463706,27273,206,"0"
"1152",18499,"F","35技~39技","055",10,293820,29382,32,20,779368,38968,62,38,1525710,40150,108,"0"
"1153",2659,"M","50技~54技","055",20,467890,23394,51,56,1234812,22050,98,122,2606933,21368,198,"0"
"1154",17742,"F","35技~39技","047",21,378284,18014,56,59,991848,16811,105,118,2397135,20315,194,"0"
"1155",9837,"F","30技~34技","047",23,310478,13499,32,61,936729,15356,72,109,1572852,14430,116,"0"
"1156",17907,"F","30技~34技","047",20,219757,10988,43,38,417709,10992,66,75,835519,11140,125,"0"
"1157",16880,"F","50技~54技","047",14,231365,16526,33,53,1163869,21960,86,116,2627283,22649,161,"0"
"1158",2588,"F","50技~54技","049",20,385704,19285,39,57,1181820,20734,68,114,2242315,19669,136,"0"
"1159",16878,"F","55技~59技","047",21,650266,30965,42,66,2113166,32018,107,144,4892901,33978,212,"0"
"1160",14708,"F","50技~54技","047",NA,NA,NA,NA,4,219993,54998,40,9,1358443,150938,82,"0"
"1161",4042,"F","45技~49技","047",14,177266,12662,28,47,606067,12895,81,103,1356390,13169,168,"0"
"1162",6545,"M","40技~44技","049",22,224570,10208,24,60,873764,14563,91,127,1723548,13571,146,"0"
"1163",6517,"F","40技~44技","016",9,581360,64596,42,11,801770,72888,56,17,1352740,79573,82,"0"
"1164",11577,"F","55技~59技","016",20,395327,19766,47,47,889963,18935,94,116,1848575,15936,176,"0"
"1165",16257,"F","55技~59技","016",5,190176,38035,27,10,440188,44019,54,19,1139370,59967,119,"0"
"1166",3445,"M","50技~54技","016",NA,NA,NA,NA,2,150696,75348,22,6,368491,61415,61,"0"
"1167",7540,"F","40技~44技","060",14,533880,38134,36,56,1904960,34017,85,119,4064920,34159,164,"0"
"1168",5700,"F","45技~49技","055",21,640997,30524,74,60,1807006,30117,169,122,3942271,32314,294,"0"
"1169",8326,"F","35技~39技","055",3,143228,47743,27,30,545228,18174,67,61,1233869,20227,132,"0"
"1170",1694,"M","55技~59技","055",35,735757,21022,95,104,2350483,22601,175,180,3844850,21360,260,"0"
"1171",12901,"F","45技~49技","055",22,865938,39361,53,50,1803625,36072,100,102,2984281,29258,186,"0"
"1172",2359,"F","50技~54技","055",16,216050,13503,35,50,919380,18388,92,85,1772267,20850,139,"0"
"1173",15059,"F","55技~59技","047",5,66900,13380,4,10,294080,29408,7,17,389210,22895,22,"0"
"1174",9444,"F","30技~34技","030",5,257320,51464,37,9,405394,45044,51,16,714944,44684,77,"0"
"1175",1908,"F","50技~54技","055",16,771377,48211,57,39,1841729,47224,133,68,3662156,53855,244,"0"
"1176",19038,"F","30技~34技","082",9,131490,14610,24,13,216528,16656,36,23,439978,19129,59,"0"
"1177",10741,"F","50技~54技","049",25,721630,28865,54,70,1876781,26811,135,124,3380259,27260,235,"0"
"1178",11210,"F","45技~49技","055",20,735253,36763,55,70,1728833,24698,127,140,3531930,25228,218,"0"
"1179",1873,"F","50技~54技","055",17,609609,35859,55,45,1754713,38994,128,82,3083494,37604,205,"0"
"1180",11248,"F","35技~39技","055",22,709226,32238,78,55,1681376,30570,161,93,2812258,30239,255,"0"
"1181",3905,"F","45技~49技","055",11,483777,43980,44,41,1344839,32801,95,100,3954985,39550,215,"0"
"1182",17937,"M","55技~59技","055",18,105580,5866,22,46,319355,6942,40,92,587495,6386,78,"0"
"1183",10487,"M","45技~49技","043",2,248600,124300,2,141,83955060,595426,14,148,142942680,965829,19,"0"
"1184",4806,"F","45技~49技","016",24,386226,16093,44,63,1610607,25565,96,108,2681937,24833,156,"0"
"1185",1448,"F","55技~59技","055",12,131160,10930,22,68,1414857,20807,64,172,3692731,21469,164,"0"
"1186",1676,"F","55技~59技","055",21,386469,18403,51,61,1479474,24254,95,133,2864138,21535,195,"0"
"1187",290,"F","60技捞惑","055",28,902666,32238,85,77,2286104,29690,168,135,4389843,32517,293,"0"
"1188",1543,"F","55技~59技","049",15,176440,11763,19,47,479676,10206,47,81,1094634,13514,105,"0"
"1189",128,"F","60技捞惑","060",12,148686,12390,17,48,884273,18422,55,108,3421705,31682,87,"0"
"1190",871,"F","55技~59技","049",13,533522,41040,65,48,1795062,37397,129,96,3301088,34386,213,"0"
"1191",2926,"F","50技~54技","055",7,380772,54396,47,27,1117663,41395,97,80,3468311,43354,208,"0"
"1192",5644,"F","45技~49技","055",10,286780,28678,32,22,626910,28496,54,46,1365735,29690,100,"0"
"1193",15997,"F","35技~39技","055",24,556772,23199,96,65,1420950,21861,167,119,2562098,21530,279,"0"
"1194",3714,"M","45技~49技","055",2,375700,187850,7,6,716946,119491,16,12,1668454,139038,63,"0"
"1195",10780,"F","25技~29技","055",19,647321,34070,69,77,2125600,27605,146,136,3715089,27317,247,"0"
"1196",12111,"F","35技~39技","055",18,1071935,59552,106,61,3130651,51322,190,138,7194190,52132,337,"0"
"1197",608,"F","60技捞惑","055",12,397038,33086,35,38,1184330,31167,75,75,2540030,33867,132,"0"
"1198",2244,"F","50技~54技","055",8,447760,55970,12,16,770030,48127,37,21,998510,47548,57,"0"
"1199",6115,"F","40技~44技","075",24,1648320,68680,18,110,3902600,35478,62,201,7605541,37839,143,"0"
"1200",7587,"F","40技~44技","075",23,468034,20349,38,52,1703077,32751,99,107,3326741,31091,164,"0"
"1201",683,"M","60技捞惑","055",15,502961,33531,68,57,1213245,21285,116,99,2107298,21286,186,"0"
"1202",13575,"F","50技~54技","055",15,1684117,112274,75,36,3924085,109002,130,90,7775811,86398,256,"0"
"1203",15577,"M","40技~44技","055",25,564700,22588,34,54,901150,16688,57,96,1444800,15050,89,"0"
"1204",950,"F","55技~59技","055",16,227492,14218,21,42,1055637,25134,51,97,2093490,21582,123,"0"
"1205",528,"F","60技捞惑","055",13,158930,12225,12,34,509840,14995,38,74,1083163,14637,76,"0"
"1206",17793,"F","45技~49技","055",18,403338,22408,64,58,1439223,24814,142,119,3020295,25381,268,"0"
"1207",3577,"F","45技~49技","055",22,529246,24057,74,50,1450112,29002,126,92,2809732,30541,216,"0"
"1208",2831,"F","50技~54技","047",19,1061415,55864,79,52,2450590,47127,172,108,4256997,39417,293,"0"
"1209",2666,"F","50技~54技","055",13,508818,39140,36,39,1948142,49952,85,90,3926006,43622,159,"0"
"1210",17689,"F","40技~44技","055",13,529078,40698,53,36,1511059,41974,106,80,2918743,36484,192,"0"
"1211",8107,"F","35技~39技","055",11,226850,20623,16,32,495600,15488,45,57,820726,14399,70,"0"
"1212",16548,"M","30技~34技","055",23,301916,13127,56,56,767682,13709,108,107,1613680,15081,184,"0"
"1213",7633,"F","40技~44技","039",1,15900,15900,1,3,92000,30667,5,8,124600,15575,8,"0"
"1214",16528,"F","25技~29技","055",13,435978,33537,54,53,1667371,31460,142,107,3326896,31092,254,"0"
"1215",16666,"F","25技~29技","055",12,150170,12514,26,40,284310,7108,40,84,486690,5794,58,"0"
"1216",16332,"F","60技捞惑","055",7,53700,7671,8,15,128070,8538,12,45,340820,7574,31,"0"
"1217",8046,"F","35技~39技","055",12,425898,35492,51,40,2825480,70637,148,107,4906771,45858,278,"0"
"1218",1101,"F","55技~59技","055",4,111860,27965,4,9,486033,54004,11,19,740468,38972,24,"0"
"1219",7300,"F","40技~44技","024",7,159332,22762,28,22,871883,39631,81,44,2224353,50553,162,"0"
"1220",3074,"F","50技~54技","024",NA,NA,NA,NA,4,138500,34625,3,10,363998,36400,28,"0"
"1221",548,"F","60技捞惑","024",5,104976,20995,20,25,507654,20306,52,65,1670059,25693,132,"0"
"1222",11503,"F","50技~54技","024",3,157988,52663,19,14,731170,52226,55,23,1028792,44730,82,"0"
"1223",6725,"F","40技~44技","024",4,381815,95454,36,14,1039349,74239,75,30,2047945,68265,135,"0"
"1224",5863,"F","40技~44技","060",1,35973,35973,11,8,271860,33982,40,16,583749,36484,87,"0"
"1225",17711,"F","60技捞惑","055",22,1095340,49788,85,47,2511743,53441,141,109,5330819,48907,265,"0"
"1226",15130,"F","35技~39技","055",25,479228,19169,54,60,1124822,18747,99,106,1773122,16728,142,"0"
"1227",4804,"F","45技~49技","055",22,1063308,48332,56,59,2195808,37217,100,139,4617106,33217,179,"0"
"1228",13144,"M","35技~39技","010",10,190165,19016,33,33,789734,23931,86,74,1740947,23526,147,"0"
"1229",10978,"F","30技~34技","010",19,188953,9945,36,58,832506,14354,102,123,1715823,13950,189,"0"
"1230",3014,"M","50技~54技","045",3,382854,127618,56,15,1315657,87710,114,26,2445095,94042,192,"0"
"1231",7095,"F","40技~44技","047",11,198855,18078,37,47,938195,19962,110,104,1893032,18202,181,"0"
"1232",6940,"F","40技~44技","047",24,685986,28583,65,93,2405280,25863,153,165,4011895,24315,239,"0"
"1233",6126,"M","40技~44技","047",17,433035,25473,72,60,1376692,22945,136,117,2967434,25363,236,"0"
"1234",2356,"F","50技~54技","047",20,238108,11905,32,48,917373,19112,65,99,1912039,19314,121,"0"
"1235",8841,"F","35技~39技","047",15,501560,33437,54,41,1144115,27905,96,84,2465084,29346,176,"0"
"1236",18205,"F","35技~39技","047",17,254730,14984,36,55,944259,17168,112,100,1613271,16133,189,"0"
"1237",16036,"F","30技~34技","047",18,291591,16200,47,56,870532,15545,117,133,1963878,14766,219,"0"
"1238",5446,"F","45技~49技","055",18,313000,17389,31,50,751140,15023,56,91,1562920,17175,113,"0"
"1239",207,"F","60技捞惑","055",25,456057,18242,48,68,1235763,18173,92,123,2296701,18672,157,"0"
"1240",1591,"F","55技~59技","016",7,410110,58587,57,18,956157,53120,104,45,2056578,45702,187,"0"
"1241",5338,"F","45技~49技","055",16,763934,47746,76,35,1435752,41021,108,67,2144231,32003,150,"0"
"1242",1356,"F","55技~59技","039",2,139821,69910,19,8,886905,110863,58,32,2838868,88715,155,"0"
"1243",738,"F","60技捞惑","055",15,138140,9209,19,48,602002,12542,52,116,1393753,12015,118,"0"
"1244",5680,"F","45技~49技","055",10,339779,33978,36,40,1654184,41355,124,81,3459013,42704,224,"0"
"1245",16411,"F","40技~44技","055",NA,NA,NA,NA,4,193026,48256,10,4,193026,48256,10,"1"
"1246",17759,"F","35技~39技","055",31,1343551,43340,82,78,3210221,41157,170,152,5847178,38468,317,"0"
"1247",3990,"F","45技~49技","055",14,541532,38681,82,40,1492989,37325,150,100,3642916,36429,301,"0"
"1248",4704,"F","45技~49技","055",15,532170,35478,48,49,1696397,34620,98,128,3730982,29148,206,"0"
"1249",2745,"F","50技~54技","043",37,1234602,33368,68,76,1974550,25981,113,153,4017306,26257,237,"0"
"1250",11542,"F","45技~49技","043",25,728865,29155,59,95,2110793,22219,112,128,2940333,22971,147,"0"
"1251",10111,"F","35技~39技","043",11,230200,20927,20,42,564166,13433,62,87,1544137,17749,136,"0"
"1252",18404,"M","60技捞惑","043",29,764482,26361,54,80,2123102,26539,103,146,3752522,25702,192,"0"
"1253",2907,"M","50技~54技","043",5,25870,5174,7,26,129038,4963,24,50,198318,3966,43,"0"
"1254",9914,"F","30技~34技","039",18,346822,19268,42,57,903560,15852,75,124,2058138,16598,134,"0"
"1255",6327,"F","40技~44技","039",22,836416,38019,107,63,2427126,38526,196,110,4084482,37132,314,"0"
"1256",9874,"F","25技~29技","055",25,431460,17258,46,64,2929250,45770,113,105,3782154,36021,189,"0"
"1257",3326,"F","50技~54技","055",16,244884,15305,25,45,824734,18327,65,86,1434970,16686,120,"0"
"1258",8282,"M","35技~39技","055",21,329710,15700,31,55,697604,12684,78,105,1361341,12965,142,"0"
"1259",5519,"M","45技~49技","055",17,349123,20537,36,47,883182,18791,79,97,1738803,17926,152,"0"
"1260",17817,"F","55技~59技","055",25,890068,35603,67,56,1839511,32848,133,111,3729860,33602,228,"0"
"1261",14146,"F","55技~59技","043",21,756019,36001,86,61,1868350,30629,118,128,3313465,25886,194,"0"
